group,precision,recall,accuracy,f1
complexity,0.6027095148078134,0.6666666666666666,0.6570327552986512,0.6603053435114504
deception,0.5601232126559172,0.5375722543352601,0.5982658959537572,0.5723076923076924
details,0.6043021435452793,0.651252408477842,0.6579961464354528,0.655674102812803
formality,0.5455606218360679,0.5433526011560693,0.5780346820809249,0.5628742514970059
humour,0.542263890847001,0.5472061657032755,0.5732177263969171,0.5618199802176064
imagination,0.5829800899165061,0.6223506743737958,0.6310211946050096,0.6277939747327501
vagueness,0.5669984600620439,0.6088631984585742,0.6098265895953757,0.609450337512054
all,0.6867795369065715,0.7514450867052023,0.7495183044315993,0.75
